1, 0, body, 0.4697595173544867, 4.697595173544867;
21, 1, div, 0.5237945626102333, 5.2379456261023325;
46, 3, div, 0.5236794398457314, 5.236794398457314;
47, 4, div, 0.1923126823270811, 1.5385014586166488;
51, 4, div, 0.23219280948873622, 2.321928094887362;
52, 5, h2, 0.2317743696890721, 1.4485898105567008;
54, 5, ul, 0.07588340533580352, 0.7588340533580352;
55, 6, li, 0.32606047515395825, 1.6303023757697912;
58, 6, li, 0.32606047515395825, 1.6303023757697912;
61, 4, div, 0.23219280948873622, 2.321928094887362;
62, 4, div, 0.3194919032571084, 3.194919032571084;
63, 5, h2, 0.2317743696890721, 1.4485898105567008;
65, 5, ul, 0.07588340533580352, 0.7588340533580352;
66, 6, li, 0.32606047515395825, 1.6303023757697912;
69, 6, li, 0.32606047515395825, 1.6303023757697912;
72, 6, li, 0.32606047515395825, 1.6303023757697912;
75, 6, li, 0.3341380691882719, 1.6706903459413593;
78, 6, li, 0.3341380691882719, 1.6706903459413593;
81, 6, li, 0.3341380691882719, 1.6706903459413593;
84, 6, li, 0.3341380691882719, 1.6706903459413593;
87, 6, li, 0.3341380691882719, 1.6706903459413593;
90, 6, li, 0.3341380691882719, 1.6706903459413593;
94, 6, form, 0.5237945626102333, 3.2737160163139576;
106, 3, div, 0.4864551577269173, 4.8645515772691725;
879, 1, div, 0.2063804251130178, 1.6510434009041424;
